,username,tweet
72,aoc,congratulation sen public school teacher new york state senate proud journey dedication bringing many along spirit building new york many let go
73,aoc,got back
74,aoc,moving office huge disruptive effort honestly even rep bush move endure greene one posing threat others around
75,aoc,responsibility ensure member harm others losing control caucus amp allowing threat go unchecked looking way member like feel unsafe must move office week st term
76,aoc,fact republican party take decisive action white supremacist amp knowingly endorsed candidate believe muslim american serve congress amp posted threatening image holding firearm next dem member congress extremely alarming
77,aoc,reminder
78,aoc,yup
79,aoc,back
80,aoc,sorry trying fix audio back
81,aoc,live
82,aoc,also joining
83,aoc,awesome see set time
84,aoc,twitch update joining along thestockguy offer update insight might come
85,aoc,need healing unity take responsibility action acknowledge contribution lie made violence harm caused believe anyone held accountable mad divisive gop
86,aoc,oh anger would anger cruz amplified known lie election fueled insurrection cost ppl life think logical response lie hug maybe anger bc action deserve accountability
87,aoc,hopping twitch pm tonight discus today development gamestop retail trading might guest two join see see
88,aoc,even apologized serious physical mental harm contributed capitol police amp custodial worker fellow member congress meantime get timeline amp stop clout chasing thanks happy work gop
89,aoc,conveniently talk moving second capitol police officer lost life yesterday still raging aftermath attack role joke need accountability includes new senator texas
90,aoc,happy work republican issue common ground almost murdered week ago sit one happy work w almost gop trying get killed meantime want help resign
91,aoc,inquiry freeze limited solely robinhood serious matter committee investigator examine retail service freezing stock purchase course potential investigation especially allowing sale freezing purchase
92,aoc,unacceptable need know decision block retail investor purchasing stock hedge fund freely able trade stock see fit member financial service cmte support hearing necessary
93,aoc,thanks actually trying new drugstore item skincare cerave vit c serum legit tried fancier one turned orange fast also using either cerave tinted sunscreen super serum w little powder
94,aoc,republican member congress want consequence white supremacy insurrection united state political strategy embrace white supremacist scepter confederacy get power first place
95,aoc,anyways tax rich
96,aoc,gotta admit really something see wall streeters long history treating economy casino complain message board poster also treating market casino
97,aoc,almost helped shape platform
98,aoc,people must understand depth happening president united state ordered halt deportation ice federal agency refusing comply reforming rogue dept time new vision freemariana amp abolishice
99,aoc,gap donation super helpful got link
100,aoc,debate democrat much helping people year much le
101,aoc,yes retroactive back jan
102,aoc,mean test corporate tax break
103,aoc,nationwide
104,aoc,sorry previous typo cold finger
105,aoc,fema operating amp authorized billion program retroactive amp reimburse back january start collecting doc fema need expense documentation receipt invoice death certificate amp doc caller id includes undocumented
106,aoc,official lost loved one due covid soon able get reimbursed expense laying loved one rest proud thankful gotten done amp
107,aoc,folk said defunding huge pd budget amp shifting school hard explain saying well actually k recall diff president carry yes know ad showed k check threshold help people
108,aoc,use west virginia cost living bring relief everyone million left cold k cutting check account queen higher col overall win win lower col get bang buck higher col get need met
109,aoc,borough queen higher population entire state west virginia help instead one cut relief check account higher cost living queen amp west virginia get help wv actually come ahead due lower col
110,aoc,discount proposal saying rep urban amp suburban area get place seem apply consideration k threshold totally disconnected reality ten million people let talk queen amp west virginia
111,aoc,contact member congress help track also applies thing like social security etc staff able track lot money people community find member congress
112,aoc,pandemic hit use income determine relief eligibility
113,aoc,conclusion k wack wack thing
114,aoc,would outrageous ran giving relief ended opposite sad even argument dem party covid relief disaster relief amp urgent first act gate big bold strong weaker amp smaller
115,aoc,source
116,aoc,joe cunningham pledged never take corporate pac money never mace said cash every check get yet another way downgrade
117,aoc,even gross mace take corporate pac money already funded corporation choosing swindle working people top peak scam artistry cap cash
118,aoc,joe cunningham already proving league decent honest mace seems capable house far better w cunningham sad see mace diminish representation community launching reputation craven dishonesty right bat
119,aoc,pretty horrible well good know kind person early also good know mace cut trump cloth dishonesty opportunism sad see colleague intentionally hurt woman survivor make buck thought better
120,aoc,amazon worker right form union anti union tactic like especially trillion dollar company trying disrupt essential worker organizing better wage dignified working condition pandemic wrong
121,aoc,preserve peg outdated income people need help
122,aoc,conservative senate dems institute lower income threshold next round check could potentially mean first round check trump help people first round biden want let stop playing amp help people
123,aoc,call member congress help track
124,aoc,dems need slam dunk people elected u help many people possible hard let screw austerity nonsense squeeze working class yet never make peep tax cut yacht private jet proposed
125,aoc,begin w anyway brutally mean testing round going hurt many people risk afford income threshold already work reverse amp lag behind reality conservative dems ask tax back later concerned
126,aoc,cannot cut relief k shockingly touch assert k wealthy receive relief million brink eviction give little devastated give much single mom might save rainy day hard
127,aoc,imagine policymaker washington witnessed massive economic social health destruction last year think greatest policy risk face providing much relief sound silly right floor ceiling
128,aoc,thanks happy chat plan detail community effort gone legislation
129,aoc,wrote original green new deal public housing written carefully w nycha resident advocate amp building trade create k job city revamp public housing plan original work
130,aoc,powerful account barricading staff collective decision made white supremacist breached office already come far movement black life go without fight
131,aoc,story threat looked like escalated moment got washington feel responsible safety staff
132,aoc,want hear story like yesterday spoke gut instinct blend floor w gop lawmaker bc knew mob coming dems amp affirmed stark reality colleague color luxury
133,aoc,reason gop trying sow false doubt account capitol attack bc know powerful testimony really story reveals detail need accountability see mine amp others cspan
134,aoc,thank everyone puppy content today deco first time camping turning dinosaur
135,aoc,incredibly powerful moving thank
136,aoc,never make claim would never ever greene pumping lie insurrectionist base making feel justified violence prospect stripping committee clearly quelling must expelled
137,aoc,discounting experience fact checking statement never made insinuating said great job mace hope proud quickly throw survivor bus moment personal gain enjoy fox news hit
138,aoc,available cspan archive footage online later viewing follow official congressional account usually rep front mine sure many clip also reposted
139,aoc,said earlier week story attack capitol story central story one story tonight start hear house floor invite colleague wish share join special order
140,aoc,bronx resident get vaccine appointment yankee stadium next week
141,aoc,last night house republican gave standing ovation gop colleague went floor today equate journalistic medium outlet qanon belief action work protect also predictable outcome accountability th
142,aoc,many food worker custodial worker capitol police officer ran life longworth feared family week attack think terror le valid statement mace attack attack
143,aoc,true damage come many survivor watching seeing get care feel shame silence speak bc know voice leadership ready minimize experience
144,aoc,think w folk like dishonestly claiming survivor exaggerating story veteran survivor community deny care need amp deserve bc internalize voice like saying went bad enough
145,aoc,wild discrediting le mo office w dishonest attack went record saying barricaded fear else experience minimize capitol police longworth custodial worker cleaned shard glass
146,aoc,saying week ago contradicting account attack fox news click honestly pretty sad see turn around like throw people bus thought better
